I, [2016-07-07T19:15:26.614834 #21225]  INFO -- : Refreshing Gem list
/home/stridor/.rvm/gems/ruby-2.3.0@rails410/gems/activesupport-4.1.0/lib/active_support/values/time_zone.rb:285: warning: circular argument reference - now
I, [2016-07-07T19:15:28.095486 #21225]  INFO -- : listening on addr=/home/stridor/thrive/shared/sockets/unicorn.sock fd=11
I, [2016-07-07T19:15:28.095694 #21225]  INFO -- : worker=0 spawning...
I, [2016-07-07T19:15:28.097602 #21225]  INFO -- : worker=1 spawning...
I, [2016-07-07T19:15:28.098770 #21228]  INFO -- : worker=0 spawned pid=21228
I, [2016-07-07T19:15:28.100473 #21225]  INFO -- : master process ready
I, [2016-07-07T19:15:28.098961 #21228]  INFO -- : worker=0 ready
I, [2016-07-07T19:15:28.109694 #21231]  INFO -- : worker=1 spawned pid=21231
I, [2016-07-07T19:15:28.109966 #21231]  INFO -- : worker=1 ready
100.14.68.209 - - [07/Jul/2016 19:25:03] "GET /turbolinks.js?body=1 HTTP/1.0" 200 24817 0.0085
100.14.68.209 - - [07/Jul/2016 19:25:03] "GET /bootstrap.min.js?body=1 HTTP/1.0" 200 36870 0.0096
100.14.68.209 - - [07/Jul/2016 19:25:03] "GET /jquery.js?body=1 HTTP/1.0" 200 282767 0.0376
100.14.68.209 - - [07/Jul/2016 19:25:03] "GET /application.js?body=1 HTTP/1.0" 200 8 0.0052
100.14.68.209 - - [07/Jul/2016 19:25:03] "GET /facebook.png HTTP/1.0" 200 2020 0.0091
100.14.68.209 - - [07/Jul/2016 19:25:03] "GET /twitter.png HTTP/1.0" 200 3821 0.0078
100.14.68.209 - - [07/Jul/2016 19:25:03] "GET /instagram.png HTTP/1.0" 200 4964 0.0087
100.14.68.209 - - [07/Jul/2016 19:25:03] "GET /pinterest.png HTTP/1.0" 200 8296 0.0080
100.14.68.209 - - [07/Jul/2016 19:25:03] "GET /logo.gif HTTP/1.0" 200 179439 0.0485
100.14.68.209 - - [07/Jul/2016 19:27:41] "GET / HTTP/1.0" 200 - 0.1070
100.14.68.209 - - [07/Jul/2016 19:27:41] "GET /nav.css?body=1 HTTP/1.0" 304 - 0.0055
100.14.68.209 - - [07/Jul/2016 19:27:41] "GET /bootstrap.min.css?body=1 HTTP/1.0" 304 - 0.0144
100.14.68.209 - - [07/Jul/2016 19:27:41] "GET /application.css?body=1 HTTP/1.0" 304 - 0.0050
100.14.68.209 - - [07/Jul/2016 19:27:41] "GET /jquery.js?body=1 HTTP/1.0" 304 - 0.0053
100.14.68.209 - - [07/Jul/2016 19:27:41] "GET /jquery_ujs.js?body=1 HTTP/1.0" 304 - 0.0036
100.14.68.209 - - [07/Jul/2016 19:27:41] "GET /turbolinks.js?body=1 HTTP/1.0" 304 - 0.0071
100.14.68.209 - - [07/Jul/2016 19:27:41] "GET /bootstrap.min.js?body=1 HTTP/1.0" 304 - 0.0027
100.14.68.209 - - [07/Jul/2016 19:27:41] "GET /application.js?body=1 HTTP/1.0" 304 - 0.0024
100.14.68.209 - - [07/Jul/2016 19:27:41] "GET /logo.gif HTTP/1.0" 304 - 0.0058
100.14.68.209 - - [07/Jul/2016 19:27:41] "GET /facebook.png HTTP/1.0" 304 - 0.0054
100.14.68.209 - - [07/Jul/2016 19:27:41] "GET /twitter.png HTTP/1.0" 304 - 0.0084
100.14.68.209 - - [07/Jul/2016 19:27:41] "GET /instagram.png HTTP/1.0" 304 - 0.0081
100.14.68.209 - - [07/Jul/2016 19:27:41] "GET /pinterest.png HTTP/1.0" 304 - 0.0047
100.14.68.209 - - [07/Jul/2016 19:27:45] "GET /page/pre_kindergarteners HTTP/1.0" 200 - 0.0957
100.14.68.209 - - [07/Jul/2016 19:27:51] "GET /page/monthly HTTP/1.0" 200 - 0.1448
100.14.68.209 - - [07/Jul/2016 19:27:51] "GET /books/one_family.jpg HTTP/1.0" 200 69038 0.0416
100.14.68.209 - - [07/Jul/2016 19:27:51] "GET /books/ragweed_farm.jpg HTTP/1.0" 200 68333 0.0389
100.14.68.209 - - [07/Jul/2016 19:27:51] "GET /books/interstellar.jpg HTTP/1.0" 200 84562 0.0455
100.14.68.209 - - [07/Jul/2016 19:27:51] "GET /books/nino.jpg HTTP/1.0" 200 91920 0.0484
100.14.68.209 - - [07/Jul/2016 19:27:51] "GET /books/norman.jpg HTTP/1.0" 200 35691 0.0126
100.14.68.209 - - [07/Jul/2016 19:27:57] "GET /page/testimonials HTTP/1.0" 200 - 0.1133
100.14.68.209 - - [07/Jul/2016 19:28:04] "GET /page/testimonials HTTP/1.0" 200 - 0.1015
100.14.68.209 - - [07/Jul/2016 19:28:24] "GET /page/monthly HTTP/1.0" 200 - 0.0872
100.14.68.209 - - [07/Jul/2016 19:28:27] "GET /page/pre_kindergarteners HTTP/1.0" 200 - 0.1051
100.14.68.209 - - [07/Jul/2016 19:28:32] "GET /page/testimonials HTTP/1.0" 200 - 0.0749
100.14.68.209 - - [07/Jul/2016 19:45:32] "GET / HTTP/1.0" 200 - 0.2134
100.14.68.209 - - [07/Jul/2016 19:45:32] "GET / HTTP/1.0" 200 - 0.2068
100.14.68.209 - - [07/Jul/2016 19:45:32] "GET /bootstrap.min.css?body=1 HTTP/1.0" 304 - 0.0054
100.14.68.209 - - [07/Jul/2016 19:45:32] "GET /nav.css?body=1 HTTP/1.0" 304 - 0.0066
100.14.68.209 - - [07/Jul/2016 19:45:32] "GET /application.css?body=1 HTTP/1.0" 304 - 0.0074
100.14.68.209 - - [07/Jul/2016 19:45:32] "GET /jquery.js?body=1 HTTP/1.0" 304 - 0.0050
100.14.68.209 - - [07/Jul/2016 19:45:32] "GET /jquery_ujs.js?body=1 HTTP/1.0" 304 - 0.0027
100.14.68.209 - - [07/Jul/2016 19:45:32] "GET /turbolinks.js?body=1 HTTP/1.0" 304 - 0.0027
100.14.68.209 - - [07/Jul/2016 19:45:32] "GET /bootstrap.min.js?body=1 HTTP/1.0" 304 - 0.0029
100.14.68.209 - - [07/Jul/2016 19:45:32] "GET /application.js?body=1 HTTP/1.0" 304 - 0.0030
100.14.68.209 - - [07/Jul/2016 19:45:33] "GET /logo.gif HTTP/1.0" 304 - 0.0066
100.14.68.209 - - [07/Jul/2016 19:45:33] "GET /facebook.png HTTP/1.0" 304 - 0.0062
100.14.68.209 - - [07/Jul/2016 19:45:33] "GET /twitter.png HTTP/1.0" 304 - 0.0072
100.14.68.209 - - [07/Jul/2016 19:45:33] "GET /instagram.png HTTP/1.0" 304 - 0.0079
100.14.68.209 - - [07/Jul/2016 19:45:33] "GET /pinterest.png HTTP/1.0" 304 - 0.0061
100.14.68.209 - - [07/Jul/2016 19:45:37] "GET /page/testimonials HTTP/1.0" 200 - 0.0871
100.14.68.209 - - [07/Jul/2016 19:45:39] "GET /page/staff HTTP/1.0" 200 - 0.1020
100.14.68.209 - - [07/Jul/2016 19:45:39] "GET /staff/dawn.jpg HTTP/1.0" 200 42773 0.0335
100.14.68.209 - - [07/Jul/2016 19:45:39] "GET /staff/bridget.jpg HTTP/1.0" 200 54654 0.0402
100.14.68.209 - - [07/Jul/2016 19:45:39] "GET /staff/marie.jpg HTTP/1.0" 200 22751 0.0229
100.14.68.209 - - [07/Jul/2016 19:45:39] "GET /staff/stacy.jpg HTTP/1.0" 200 64640 0.0326
100.14.68.209 - - [07/Jul/2016 19:45:39] "GET /staff/jane.jpg HTTP/1.0" 200 93514 0.0289
100.14.68.209 - - [07/Jul/2016 19:45:39] "GET /staff/eve.jpg HTTP/1.0" 200 62151 0.0198
100.14.68.209 - - [07/Jul/2016 19:45:45] "GET /page/private HTTP/1.0" 200 - 0.0950
100.14.68.209 - - [07/Jul/2016 20:00:35] "GET / HTTP/1.0" 200 - 0.1121
100.14.68.209 - - [07/Jul/2016 20:00:35] "GET /nav.css?body=1 HTTP/1.0" 304 - 0.0044
100.14.68.209 - - [07/Jul/2016 20:00:35] "GET /bootstrap.min.css?body=1 HTTP/1.0" 304 - 0.0129
100.14.68.209 - - [07/Jul/2016 20:00:35] "GET /application.css?body=1 HTTP/1.0" 304 - 0.0053
100.14.68.209 - - [07/Jul/2016 20:00:35] "GET /jquery.js?body=1 HTTP/1.0" 304 - 0.0047
100.14.68.209 - - [07/Jul/2016 20:00:35] "GET /jquery_ujs.js?body=1 HTTP/1.0" 304 - 0.0031
100.14.68.209 - - [07/Jul/2016 20:00:35] "GET /turbolinks.js?body=1 HTTP/1.0" 304 - 0.0064
100.14.68.209 - - [07/Jul/2016 20:00:35] "GET /bootstrap.min.js?body=1 HTTP/1.0" 304 - 0.0083
100.14.68.209 - - [07/Jul/2016 20:00:35] "GET /application.js?body=1 HTTP/1.0" 304 - 0.0029
100.14.68.209 - - [07/Jul/2016 20:00:35] "GET /logo.gif HTTP/1.0" 304 - 0.0068
100.14.68.209 - - [07/Jul/2016 20:00:35] "GET /facebook.png HTTP/1.0" 304 - 0.0074
100.14.68.209 - - [07/Jul/2016 20:00:35] "GET /instagram.png HTTP/1.0" 304 - 0.0038
100.14.68.209 - - [07/Jul/2016 20:00:35] "GET /twitter.png HTTP/1.0" 304 - 0.0092
100.14.68.209 - - [07/Jul/2016 20:00:35] "GET /pinterest.png HTTP/1.0" 304 - 0.0031
100.14.68.209 - - [07/Jul/2016 20:06:20] "GET / HTTP/1.0" 200 - 0.1113
100.14.68.209 - - [07/Jul/2016 20:06:20] "GET /nav.css?body=1 HTTP/1.0" 304 - 0.0086
100.14.68.209 - - [07/Jul/2016 20:06:20] "GET /bootstrap.min.css?body=1 HTTP/1.0" 304 - 0.0167
100.14.68.209 - - [07/Jul/2016 20:06:20] "GET /application.css?body=1 HTTP/1.0" 304 - 0.0078
100.14.68.209 - - [07/Jul/2016 20:06:20] "GET /jquery.js?body=1 HTTP/1.0" 304 - 0.0075
100.14.68.209 - - [07/Jul/2016 20:06:20] "GET /jquery_ujs.js?body=1 HTTP/1.0" 304 - 0.0070
100.14.68.209 - - [07/Jul/2016 20:06:20] "GET /turbolinks.js?body=1 HTTP/1.0" 304 - 0.0034
100.14.68.209 - - [07/Jul/2016 20:06:20] "GET /bootstrap.min.js?body=1 HTTP/1.0" 304 - 0.0035
100.14.68.209 - - [07/Jul/2016 20:06:20] "GET /application.js?body=1 HTTP/1.0" 304 - 0.0049
100.14.68.209 - - [07/Jul/2016 20:06:20] "GET /logo.gif HTTP/1.0" 304 - 0.0060
100.14.68.209 - - [07/Jul/2016 20:06:20] "GET /twitter.png HTTP/1.0" 304 - 0.0038
100.14.68.209 - - [07/Jul/2016 20:06:20] "GET /facebook.png HTTP/1.0" 304 - 0.0061
100.14.68.209 - - [07/Jul/2016 20:06:20] "GET /pinterest.png HTTP/1.0" 304 - 0.0049
100.14.68.209 - - [07/Jul/2016 20:06:20] "GET /instagram.png HTTP/1.0" 304 - 0.0112
100.14.68.209 - - [07/Jul/2016 20:06:39] "GET /nav.css?body=1 HTTP/1.0" 304 - 0.0048
100.14.68.209 - - [07/Jul/2016 20:06:39] "GET /bootstrap.min.css?body=1 HTTP/1.0" 304 - 0.0102
100.14.68.209 - - [07/Jul/2016 20:06:39] "GET /application.css?body=1 HTTP/1.0" 304 - 0.0029
100.14.68.209 - - [07/Jul/2016 20:06:53] "GET /logo.gif HTTP/1.0" 304 - 0.0033
